"FID_","ID_final","Aedes.aegypti","Aedes.albopictus","Aedes.atropalpus","Aedes.dupreei","Aedes.infirmatus","Aedes.sollicitans","Aedes.taeniorhynchus","Aedes.tortilis","Aedes.triseriatus","Aedes.vexans.sensu.lato","Anopheles.albimanus","Anopheles.atropos","Anopheles.barberi","Anopheles.perplexens","Anopheles.punctipennis","Anopheles.quadrimaculatus","Coquillettidia.perturbans","Culex.coronator","Culex.erraticus","Culex.iolambdis","Culex.nigripalpus","Culex.quinquefasciatus","Culex.restuans","Culex.salinarius","Culex.tarsalis","Culex.territans","Culiseta.inornata","Culiseta.melanura","Mansonia.dyari","Mansonia.titillans","Orthopodomyia.alba","Psorophora.ciliata","Psorophora.columbiae","Psorophora.cyanescens","Psorophora.ferox","Psorophora.horrida","Psorophora.howardii","Uranotaenia.lowii","Uranotaenia.sapphirina","Wyeomyia.mitchellii","Wyeomyia.vanduzeei","Anopheles.crucians.complex2","Aedes.atlanticus.tormentor.morphological.group2","Aedes.mathesoni.complex2","Aedes.fulvus2","pland_1","pland_2","pland_13","pland_15","pland_16","year","Long_final","Lat_final"
88,"s14",0.336283186,0.805309735,NA,0,8.840707965,0,2.345132743,0,0.185840708,0.026548673,0,0,0,0,0,0.672566372,0.203539823,0.469026549,5.911504425,0,686.8495575,0.017699115,0,0,0,0,0,0.778761062,1.03539823,0.548672566,0,0.212389381,37.97345133,0.026548673,3.796460177,0,0,0.353982301,0.008849558,0,0.008849558,5.85840708,2.115044248,0,0.03539823,0.317460317,23.17460317,24.44444444,2.857142857,14.28571429,2016,-82.425,27.565
90,"s10",2.814814815,0.259259259,NA,0,0.037037037,0.777777778,154.9259259,0,0.037037037,0,0,1.777777778,0,0,0,0.185185185,0,0.074074074,2.666666667,0,89.48148148,0,0,0.074074074,0,0,0,0,0.222222222,1.037037037,0,0,11.22222222,0,0,0,0,0,0,0.185185185,0,0.407407407,0.037037037,0,0,57.6433121,7.006369427,0.636942675,1.910828025,20.06369427,2016,-82.5932,27.5695
92,"s17",0.16,0,NA,0,3,0,0,0,0,0.32,0,0,0,0,0,4.84,6.52,1.12,23.44,0,304.12,0,0,0,0,0,0,1.6,1.76,8.08,0,1.76,145.36,0,0,0,0.04,0,0,0,0,20.96,3.16,0,0,0.320512821,0.320512821,18.58974359,4.807692308,21.15384615,2016,-82.1378,27.5709
94,"s11",0.76,1.82,NA,0,7.84,0,10.38,0,0.5,0,0,0,0,0,0,2.3,0.2,5.08,11.8,0,1557.24,0,0,0,0,0,0,0,0.48,9.34,0,0,62.54,0,36.66,0,0.02,4.94,0,0,0,9.08,0,0,0.02,3.215434084,40.19292605,9.646302251,4.501607717,23.79421222,2016,-82.504,27.574
96,"s15",0.108333333,0.883333333,NA,0,33.85,0,4.95,0,0.691666667,0.041666667,0,0,0,0,0,8.966666667,0.675,0.15,9.725,0.3,705.475,0,0,0,0,0,0,0.608333333,2.375,0.7,0,0.416666667,22.325,0.075,13.24166667,0.016666667,0.408333333,2.266666667,1.958333333,0,0,71.69166667,5.083333333,0,0.058333333,0,12.7388535,26.11464968,4.140127389,19.42675159,2016,-82.42,27.575
98,"s16",0,0,NA,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2.5,12.5,0,87,0,0,0,0,0,0,0,2.5,0,0,2.5,474,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,21.58730159,4.126984127,16.50793651,2016,-82.3548,27.5776
99,"s12",0,0.069565217,NA,0,3.965217391,0.034782609,44.87826087,0,0.426086957,0,0,0,0,0,0,2.182608696,14.57391304,0.982608696,57.36521739,0,515.6434783,0.026086957,0,0,0,0,0.104347826,0.4,6.739130435,9.747826087,0,0.07826087,40.62608696,0,2.391304348,0,0.052173913,0.547826087,0.513043478,0,0.060869565,47.31304348,0.339130435,0,0,3.797468354,25.63291139,24.05063291,4.113924051,24.6835443,2016,-82.484,27.578
102,"s9",0.366972477,0.486238532,NA,0,1.220183486,0,183.4311927,0,0.027522936,0.155963303,0,0.155963303,0,0,0,1.064220183,0.376146789,0.110091743,6.889908257,0,120.3486239,0.091743119,0,0,0,0,0,0,1.853211009,0.752293578,0,0,3.302752294,0.018348624,1.348623853,0,0.018348624,0.137614679,0.082568807,0,0,8.889908257,0.110091743,0,0,15.09433962,32.0754717,6.289308176,1.257861635,26.10062893,2016,-82.548,27.5909
104,"s7",0,0.076923077,NA,0,0.230769231,0,0,0,0,0,0,0,0,0,0,0.576923077,2.884615385,0.115384615,26.92307692,0,27,0,0,0,0,0,0,0,3.384615385,12.57692308,0,0.269230769,84.42307692,0,0.615384615,0,0,0,0,0,0,5.846153846,0.038461538,0,0,0,8.860759494,17.72151899,0.949367089,15.50632911,2016,-82.2,27.591
106,"s8",0.320754717,0.188679245,NA,0,0.877358491,0.08490566,262.6320755,0,0,0.264150943,0,0.132075472,0,0,0,4.094339623,0.216981132,0.018867925,4.811320755,0,214.0849057,0,0,0.028301887,0,0,0,0,0.971698113,1.830188679,0,0.113207547,32.19811321,0.037735849,0.08490566,0,0,0.037735849,0.028301887,0,0,9.150943396,0,0.018867925,0,9.17721519,33.2278481,21.51898734,0.316455696,19.93670886,2016,-82.536,27.603
